,transcription_factor,target_gene
2967,G22,G4379
2968,G22,G4381
2969,G121,G4381
2970,G224,G4385
2971,G68,G4386
2972,G94,G4386
2973,G171,G4386
2974,G223,G4387
2975,G319,G4387
2976,G1,G4389
2977,G227,G4389
2978,G138,G4392
2979,G71,G4394
2980,G41,G4398
2981,G68,G4400
2982,G111,G4400
2983,G171,G4400
2984,G212,G4400
2985,G258,G4400
2986,G292,G4400
2987,G11,G4403
2988,G22,G4403
2989,G101,G4403
2990,G112,G4403
2991,G176,G4403
2992,G211,G4403
2993,G298,G4411
2994,G41,G4423
2995,G1,G4425
2996,G41,G4425
2997,G98,G4425
2998,G172,G4425
2999,G138,G4427
3000,G62,G4428
3001,G15,G4437
3002,G45,G4437
3003,G94,G4442
3004,G233,G4442
3005,G298,G4442
3006,G138,G4443
3007,G138,G4446
3008,G205,G4449
3009,G76,G4451
3010,G158,G4451
3011,G160,G4451
3012,G98,G4454
3013,G223,G4455
3014,G319,G4455
3015,G111,G4456
3016,G223,G4456
3017,G111,G4457
3018,G223,G4457
3019,G223,G4460
3020,G300,G4461
3021,G333,G4462
3022,G71,G4463
3023,G138,G4463
3024,G41,G4464
3025,G22,G4467
3026,G279,G4468
3027,G138,G4471
3028,G147,G4472
3029,G168,G4472
3030,G199,G4472
3031,G295,G4472
3032,G104,G4473
3033,G160,G4473
3034,G138,G4476
3035,G319,G4479
3036,G76,G4480
3037,G109,G4480
3038,G298,G4480
3039,G102,G4481
3040,G117,G4481
3041,G319,G4485
3042,G302,G4487
3043,G316,G4491
3044,G86,G4492
3045,G138,G4492
3046,G104,G4493
3047,G117,G4502
3048,G138,G4502
3049,G138,G4513
3050,G41,G4517
3051,G138,G4517
3052,G87,G4523
3053,G101,G4524
3054,G219,G4524
3055,G138,G4529
3056,G68,G4530
3057,G171,G4530
3058,G62,G4534
3059,G95,G4534
3060,G136,G4534
3061,G224,G4534
3062,G316,G4534
3063,G41,G4537
3064,G97,G4537
3065,G117,G4537
3066,G41,G4544
3067,G124,G4552
3068,G301,G4552
3069,G223,G4554
3070,G41,G4562
3071,G71,G4563
3072,G109,G4563
3073,G97,G4568
3074,G41,G4575
3075,G97,G4578
3076,G87,G4580
3077,G219,G4580
3078,G1,G4582
3079,G98,G4582
3080,G68,G4583
3081,G94,G4583
3082,G171,G4583
3083,G222,G4584
3084,G138,G4588
3085,G94,G4592
3086,G22,G4593
3087,G50,G4595
3088,G76,G4595
3089,G319,G4597
3090,G41,G4601
3091,G139,G4606
3092,G110,G4607
3093,G224,G4607
3094,G45,G4612
3095,G219,G4612
3096,G1,G4625
3097,G98,G4625
3098,G41,G4630
3099,G124,G4632
3100,G223,G4633
3101,G319,G4633
3102,G50,G4634
3103,G76,G4634
3104,G158,G4634
3105,G289,G4634
3106,G250,G4635
3107,G41,G4636
3108,G22,G4641
3109,G110,G4641
3110,G111,G4641
3111,G160,G4641
3112,G258,G4641
3113,G302,G4641
3114,G1,G4644
3115,G76,G4644
3116,G222,G4645
3117,G97,G4647
3118,G117,G4651
3119,G68,G4654
3120,G171,G4654
3121,G14,G4657
3122,G15,G4657
3123,G22,G4657
3124,G45,G4657
3125,G47,G4657
3126,G101,G4657
3127,G152,G4657
3128,G158,G4657
3129,G273,G4657
3130,G94,G4658
3131,G1,G4660
3132,G87,G4660
3133,G98,G4660
3134,G112,G4660
3135,G152,G4660
3136,G172,G4660
3137,G15,G4662
3138,G112,G4662
3139,G104,G4668
3140,G160,G4668
3141,G222,G4670
3142,G34,G4679
3143,G87,G4679
3144,G137,G4679
3145,G214,G4679
3146,G41,G4682
3147,G97,G4685
3148,G104,G4686
3149,G152,G4686
3150,G50,G4688
3151,G41,G4691
3152,G171,G4691
3153,G219,G4691
3154,G95,G4708
3155,G11,G4711
3156,G34,G4711
3157,G47,G4711
3158,G143,G4711
3159,G211,G4711
3160,G219,G4711
3161,G274,G4711
3162,G160,G4712
3163,G298,G4712
3164,G14,G4715
3165,G47,G4715
3166,G61,G4715
3167,G87,G4715
3168,G111,G4715
3169,G136,G4715
3170,G143,G4715
3171,G160,G4716
3172,G97,G4722
3173,G138,G4722
3174,G176,G4723
3175,G319,G4723
3176,G324,G4723
3177,G71,G4726
3178,G231,G4726
3179,G288,G4727
3180,G41,G4732
3181,G301,G4732
3182,G136,G4736
3183,G319,G4736
3184,G1,G4738
3185,G71,G4738
3186,G76,G4738
3187,G98,G4738
3188,G109,G4738
3189,G138,G4738
3190,G41,G4742
3191,G41,G4743
3192,G329,G4743
3193,G11,G4745
3194,G211,G4745
3195,G1,G4746
3196,G41,G4746
3197,G95,G4746
3198,G98,G4746
3199,G76,G4749
3200,G135,G4749
3201,G160,G4749
3202,G221,G4749
3203,G41,G4751
3204,G97,G4751
3205,G117,G4751
3206,G62,G4754
3207,G110,G4754
3208,G136,G4754
3209,G212,G4754
3210,G87,G4758
3211,G1,G4764
3212,G98,G4764
3213,G160,G4765
3214,G245,G4765
3215,G95,G4768
3216,G224,G4768
3217,G327,G4771
3218,G117,G4776
3219,G138,G4776
3220,G256,G4777
3221,G224,G4783
3222,G11,G4796
3223,G111,G4796
3224,G117,G4796
3225,G124,G4796
3226,G211,G4796
3227,G273,G4796
3228,G138,G4802
3229,G212,G4803
3230,G76,G4806
3231,G71,G4821
3232,G104,G4821
3233,G112,G4821
3234,G152,G4821
3235,G154,G4821
3236,G98,G4822
3237,G104,G4822
3238,G112,G4822
3239,G121,G4822
3240,G152,G4822
3241,G154,G4822
3242,G172,G4822
3243,G227,G4822
3244,G223,G4824
3245,G319,G4824
3246,G102,G4826
3247,G214,G4828
3248,G94,G4834
3249,G171,G4834
3250,G1,G4835
3251,G98,G4835
3252,G319,G4837
3253,G176,G4840
3254,G319,G4840
3255,G324,G4840
3256,G138,G4848
3257,G160,G4848
3258,G95,G4851
3259,G258,G4851
3260,G258,G4858
3261,G138,G4859
3262,G154,G4867
3263,G231,G4869
3264,G138,G4870
3265,G15,G4871
3266,G219,G4871
3267,G138,G4872
3268,G97,G4874
3269,G138,G4876
3270,G76,G4879
3271,G274,G4879
3272,G41,G4881
3273,G222,G4881
3274,G111,G4883
3275,G158,G4884
3276,G327,G4886
3277,G41,G4893
3278,G224,G4893
3279,G301,G4893
3280,G41,G4894
3281,G298,G4894
3282,G87,G4896
3283,G41,G4899
3284,G121,G4900
3285,G138,G4904
3286,G15,G4907
3287,G109,G4907
3288,G112,G4907
3289,G138,G4912
3290,G76,G4914
3291,G87,G4914
3292,G50,G4924
3293,G319,G4930
3294,G86,G4931
3295,G34,G4937
3296,G211,G4937
3297,G41,G4942
3298,G319,G4946
3299,G258,G4948
3300,G319,G4950
3301,G121,G4956
3302,G273,G4956
3303,G41,G4959
3304,G98,G4959
3305,G1,G4962
3306,G98,G4962
3307,G104,G4962
3308,G112,G4962
3309,G121,G4962
3310,G152,G4962
3311,G1,G4969
3312,G41,G4969
3313,G71,G4969
3314,G98,G4969
3315,G109,G4969
3316,G112,G4969
3317,G121,G4969
3318,G143,G4969
3319,G168,G4969
3320,G211,G4969
3321,G160,G4972
3322,G95,G4975
3323,G137,G4975
3324,G219,G4979
3325,G50,G4981
3326,G112,G4983
3327,G222,G4983
3328,G68,G4984
3329,G301,G4985
3330,G138,G4986
3331,G104,G4987
3332,G152,G4987
3333,G1,G4997
3334,G15,G4997
3335,G45,G4997
3336,G87,G4997
3337,G101,G4997
3338,G111,G4997
3339,G273,G4997
3340,G319,G4997
3341,G171,G5002
3342,G62,G5004
3343,G76,G5004
3344,G98,G5004
3345,G111,G5004
3346,G117,G5004
3347,G136,G5004
3348,G247,G5004
3349,G273,G5004
3350,G303,G5004
3351,G316,G5004
3352,G104,G5010
3353,G121,G5010
3354,G143,G5010
3355,G152,G5010
3356,G199,G5011
3357,G50,G5013
3358,G76,G5013
3359,G68,G5014
3360,G121,G5014
3361,G171,G5014
3362,G222,G5014
3363,G223,G5015
3364,G319,G5015
3365,G171,G5019
3366,G41,G5020
3367,G50,G5020
3368,G76,G5020
3369,G41,G5021
3370,G224,G5021
3371,G301,G5021
3372,G85,G5030
3373,G152,G5032
3374,G160,G5032
3375,G11,G5045
3376,G22,G5045
3377,G219,G5045
3378,G1,G5049
3379,G98,G5049
3380,G112,G5049
3381,G172,G5049
3382,G222,G5050
3383,G138,G5053
3384,G41,G5061
3385,G121,G5062
3386,G41,G5063
3387,G41,G5065
3388,G94,G5066
3389,G87,G5067
3390,G68,G5068
3391,G68,G5073
3392,G212,G5073
3393,G222,G5073
3394,G258,G5078
3395,G95,G5082
3396,G147,G5084
3397,G295,G5084
3398,G302,G5084
3399,G109,G5090
3400,G329,G5092
3401,G160,G5093
3402,G223,G5093
3403,G1,G5097
3404,G14,G5097
3405,G15,G5097
3406,G22,G5097
3407,G61,G5097
3408,G71,G5097
3409,G87,G5097
3410,G139,G5097
3411,G222,G5097
3412,G138,G5099
3413,G158,G5104
3414,G76,G5106
3415,G147,G5106
3416,G199,G5106
3417,G295,G5106
3418,G301,G5106
3419,G211,G5107
3420,G1,G5108
3421,G71,G5108
3422,G214,G5110
3423,G276,G5110
3424,G138,G5114
3425,G224,G5114
3426,G158,G5115
3427,G219,G5115
3428,G15,G5120
3429,G219,G5120
3430,G111,G5123
3431,G1,G5124
3432,G41,G5124
3433,G137,G5124
3434,G298,G5125
3435,G138,G5130
3436,G41,G5131
3437,G171,G5133
3438,G224,G5137
3439,G138,G5141
3440,G138,G5144
3441,G138,G5147
3442,G15,G5151
3443,G160,G5151
3444,G319,G5151
3445,G211,G5156
3446,G224,G5160
3447,G111,G5165
3448,G112,G5165
3449,G152,G5165
3450,G41,G5166
3451,G41,G5167
3452,G138,G5168
3453,G196,G5178
3454,G76,G5185
3455,G147,G5185
3456,G199,G5185
3457,G295,G5185
3458,G257,G5188
3459,G327,G5188
3460,G85,G5189
3461,G22,G5190
3462,G14,G5195
3463,G47,G5195
3464,G61,G5195
3465,G87,G5195
3466,G111,G5195
3467,G136,G5195
3468,G143,G5195
3469,G61,G5200
3470,G222,G5200
3471,G126,G5211
3472,G222,G5211
3473,G104,G5213
3474,G152,G5213
3475,G327,G5213
3476,G87,G5221
3477,G112,G5222
3478,G152,G5222
3479,G171,G5222
3480,G219,G5222
3481,G227,G5222
3482,G76,G5225
3483,G158,G5225
3484,G160,G5225
3485,G176,G5232
3486,G61,G5234
3487,G71,G5234
3488,G138,G5234
3489,G143,G5234
3490,G168,G5234
3491,G76,G5235
3492,G117,G5235
3493,G143,G5235
3494,G247,G5235
3495,G303,G5235
3496,G41,G5238
3497,G109,G5238
3498,G76,G5240
3499,G301,G5243
3500,G41,G5251
3501,G302,G5252
3502,G110,G5253
3503,G158,G5253
3504,G224,G5253
3505,G41,G5255
3506,G224,G5256
3507,G41,G5259
3508,G11,G5261
3509,G117,G5261
3510,G138,G5261
3511,G298,G5262
3512,G85,G5269
3513,G87,G5269
3514,G288,G5269
3515,G302,G5269
3516,G319,G5270
3517,G139,G5275
3518,G258,G5275
3519,G273,G5275
3520,G61,G5276
3521,G71,G5276
3522,G76,G5276
3523,G109,G5276
3524,G319,G5278
3525,G136,G5279
3526,G160,G5279
3527,G111,G5282
3528,G139,G5282
3529,G258,G5282
3530,G273,G5282
3531,G292,G5282
3532,G300,G5282
3533,G22,G5284
3534,G87,G5284
3535,G101,G5284
3536,G214,G5287
3537,G117,G5291
3538,G303,G5291
3539,G111,G5292
3540,G104,G5293
3541,G71,G5295
3542,G112,G5296
3543,G160,G5297
3544,G11,G5298
3545,G117,G5298
3546,G138,G5298
3547,G223,G5299
3548,G319,G5299
3549,G324,G5299
3550,G222,G5305
3551,G97,G5314
3552,G223,G5314
3553,G212,G5330
3554,G41,G5333
3555,G76,G5333
3556,G121,G5333
3557,G296,G5333
3558,G97,G5334
3559,G121,G5335
3560,G68,G5339
3561,G95,G5344
3562,G224,G5344
3563,G298,G5345
3564,G117,G5346
3565,G138,G5347
3566,G76,G5350
3567,G76,G5352
3568,G138,G5352
3569,G87,G5353
3570,G117,G5353
3571,G158,G5353
3572,G160,G5353
3573,G219,G5357
3574,G34,G5358
3575,G274,G5358
3576,G76,G5359
3577,G319,G5363
3578,G329,G5366
3579,G138,G5369
3580,G15,G5371
3581,G41,G5371
3582,G45,G5371
3583,G87,G5371
3584,G101,G5371
3585,G25,G5375
3586,G117,G5377
3587,G247,G5377
3588,G303,G5377
3589,G98,G5381
3590,G224,G5382
3591,G104,G5383
3592,G112,G5383
3593,G152,G5383
3594,G211,G5383
3595,G126,G5384
3596,G87,G5391
3597,G223,G5391
3598,G319,G5391
3599,G11,G5394
3600,G104,G5394
3601,G112,G5394
3602,G117,G5394
3603,G211,G5394
3604,G212,G5394
3605,G224,G5394
3606,G247,G5394
3607,G136,G5401
3608,G97,G5402
3609,G104,G5407
3610,G15,G5408
3611,G224,G5408
3612,G109,G5418
3613,G160,G5419
3614,G117,G5428
3615,G71,G5431
3616,G95,G5431
3617,G143,G5431
3618,G171,G5431
3619,G1,G5432
3620,G121,G5432
3621,G298,G5435
3622,G50,G5438
3623,G76,G5438
3624,G104,G5440
3625,G205,G5447
3626,G138,G5448
3627,G233,G5457
3628,G104,G5460
3629,G138,G5460
3630,G41,G5463
3631,G45,G5464
3632,G152,G5464
3633,G111,G5465
3634,G62,G5468
3635,G95,G5468
3636,G136,G5468
3637,G1,G5470
3638,G205,G5470
3639,G219,G5470
3640,G25,G5471
3641,G143,G5477
3642,G41,G5480
3643,G160,G5480
3644,G50,G5494
3645,G301,G5499
3646,G298,G5500
3647,G138,G5507
3648,G71,G5508
3649,G224,G5513
3650,G160,G5514
3651,G199,G5515
3652,G224,G5515
3653,G104,G5517
3654,G121,G5517
3655,G15,G5520
3656,G101,G5520
3657,G212,G5521
3658,G41,G5525
3659,G111,G5526
3660,G112,G5531
3661,G41,G5534
3662,G224,G5534
3663,G138,G5535
3664,G50,G5545
3665,G138,G5545
3666,G258,G5545
3667,G41,G5547
3668,G160,G5547
3669,G160,G5550
3670,G76,G5560
3671,G221,G5560
3672,G223,G5560
3673,G87,G5561
3674,G101,G5561
3675,G143,G5561
3676,G273,G5561
3677,G76,G5562
3678,G158,G5562
3679,G219,G5562
3680,G212,G5565
3681,G223,G5565
3682,G138,G5566
3683,G224,G5567
3684,G138,G5568
3685,G22,G5570
3686,G168,G5572
3687,G273,G5572
3688,G1,G5575
3689,G98,G5575
3690,G121,G5575
3691,G1,G5579
3692,G14,G5579
3693,G15,G5579
3694,G22,G5579
3695,G45,G5579
3696,G87,G5579
3697,G101,G5579
3698,G112,G5579
3699,G152,G5579
3700,G172,G5579
3701,G224,G5579
3702,G109,G5587
3703,G217,G5588
3704,G62,G5593
3705,G158,G5593
3706,G219,G5593
3707,G289,G5593
3708,G316,G5593
3709,G212,G5595
3710,G273,G5598
3711,G288,G5598
3712,G1,G5612
3713,G160,G5613
3714,G158,G5617
3715,G45,G5620
3716,G117,G5621
3717,G224,G5621
3718,G327,G5630
3719,G121,G5632
3720,G296,G5632
3721,G41,G5638
3722,G50,G5638
3723,G76,G5638
3724,G76,G5641
3725,G117,G5641
3726,G143,G5641
3727,G247,G5641
3728,G303,G5641
3729,G138,G5643
3730,G136,G5644
3731,G301,G5647
3732,G71,G5650
3733,G117,G5656
3734,G61,G5657
3735,G15,G5659
3736,G223,G5661
3737,G298,G5661
3738,G104,G5665
3739,G112,G5665
3740,G152,G5665
3741,G154,G5665
3742,G76,G5668
3743,G224,G5674
3744,G138,G5676
3745,G41,G5677
3746,G76,G5677
3747,G289,G5677
3748,G158,G5678
3749,G1,G5680
3750,G22,G5680
3751,G47,G5680
3752,G98,G5680
3753,G112,G5680
3754,G139,G5680
3755,G152,G5680
3756,G171,G5680
3757,G276,G5680
3758,G102,G5683
3759,G160,G5684
3760,G223,G5684
3761,G217,G5685
3762,G160,G5687
3763,G109,G5692
3764,G221,G5694
3765,G223,G5694
3766,G136,G5695
3767,G1,G5696
3768,G98,G5696
3769,G138,G5696
3770,G223,G5701
3771,G319,G5701
3772,G224,G5704
3773,G62,G5708
3774,G95,G5708
3775,G127,G5708
3776,G136,G5708
3777,G41,G5709
3778,G222,G5709
3779,G224,G5711
3780,G138,G5712
3781,G41,G5717
3782,G101,G5721
3783,G102,G5722
3784,G76,G5723
3785,G224,G5723
3786,G329,G5723
3787,G94,G5724
3788,G157,G5724
3789,G124,G5725
3790,G152,G5725
3791,G211,G5726
3792,G274,G5734
3793,G171,G5735
3794,G143,G5741
3795,G138,G5742
3796,G211,G5743
3797,G15,G5745
3798,G87,G5745
3799,G152,G5745
3800,G22,G5746
3801,G1,G5748
3802,G71,G5748
3803,G112,G5748
3804,G152,G5748
3805,G154,G5748
3806,G137,G5750
3807,G223,G5751
3808,G109,G5753
3809,G245,G5754
3810,G104,G5755
3811,G25,G5756
3812,G22,G5757
3813,G87,G5757
3814,G112,G5757
3815,G139,G5757
3816,G152,G5757
3817,G221,G5757
3818,G199,G5758
3819,G65,G5764
3820,G94,G5768
3821,G138,G5769
3822,G104,G5771
3823,G112,G5771
3824,G152,G5771
3825,G87,G5774
3826,G319,G5775
3827,G111,G5777
3828,G138,G5781
3829,G41,G5782
3830,G224,G5784
3831,G301,G5784
3832,G211,G5785
3833,G87,G5788
3834,G110,G5788
3835,G136,G5788
3836,G111,G5789
3837,G117,G5789
3838,G138,G5790
3839,G256,G5790
3840,G160,G5793
3841,G138,G5794
3842,G41,G5797
3843,G104,G5797
3844,G15,G5798
3845,G45,G5798
3846,G61,G5798
3847,G87,G5798
3848,G95,G5798
3849,G104,G5798
3850,G112,G5798
3851,G143,G5798
3852,G152,G5798
3853,G154,G5798
3854,G171,G5798
3855,G227,G5798
3856,G109,G5801
3857,G298,G5801
3858,G109,G5811
3859,G109,G5814
3860,G1,G5817
3861,G98,G5817
3862,G217,G5817
3863,G11,G5819
3864,G41,G5819
3865,G211,G5819
3866,G76,G5821
3867,G138,G5821
3868,G160,G5821
3869,G95,G5825
3870,G71,G5828
3871,G109,G5828
3872,G319,G5829
3873,G1,G5838
3874,G223,G5840
3875,G319,G5840
3876,G122,G5860
3877,G127,G5860
3878,G1,G5861
3879,G41,G5861
3880,G95,G5861
3881,G98,G5861
3882,G41,G5862
3883,G1,G5863
3884,G98,G5863
3885,G222,G5865
3886,G160,G5866
3887,G298,G5866
3888,G97,G5867
3889,G138,G5871
3890,G87,G5874
3891,G1,G5877
3892,G71,G5877
3893,G87,G5877
3894,G112,G5877
3895,G121,G5877
3896,G143,G5877
3897,G152,G5877
3898,G227,G5877
3899,G233,G5877
3900,G296,G5877
3901,G160,G5881
3902,G41,G5884
3903,G87,G5888
3904,G219,G5888
3905,G104,G5910
3906,G41,G5915
3907,G224,G5916
3908,G171,G5919
3909,G97,G5921
3910,G224,G5921
3911,G112,G5922
3912,G160,G5925
3913,G76,G5926
3914,G41,G5932
3915,G158,G5934
3916,G219,G5934
3917,G62,G5936
3918,G289,G5936
3919,G316,G5936
3920,G41,G5938
3921,G109,G5939
3922,G1,G5940
3923,G98,G5940
3924,G223,G5942
3925,G319,G5942
3926,G66,G5944
3927,G121,G5944
3928,G296,G5944
3929,G87,G5946
3930,G138,G5947
3931,G95,G5949
3932,G117,G5949
3933,G136,G5949
3934,G1,G5950
3935,G14,G5950
3936,G50,G5950
3937,G258,G5950
3938,G292,G5950
3939,G327,G5950
